epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.42302,1.33547,2.86932,1.64319,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,7.43966,1.20449,2.69367,1.51108,0.56574,0.85,0.8488,0.6319,1.64595,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,9.45473,1.15966,3.63326,1.57285,0.55955,0.85,0.85083,0.61618,1.66648,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,11.3219,1.27722,2.74015,1.38867,0.56025,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,13.1312,1.37189,3.08506,1.72628,0.56731,0.85,0.85526,0.63771,1.65851,1.04085,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,15.2362,1.56146,4.11411,1.96444,0.54412,0.85,0.8936,0.63825,1.68516,1.05841,1.37756,5.65548e-06,5.65548e-06,5.65548e-06
7,17.1239,1.13967,1.91298,1.41946,0.53943,0.85175,0.89406,0.64255,1.68384,1.0593,1.37695,6.71588e-06,6.71588e-06,6.71588e-06
8,18.9525,1.37579,4.0186,1.61424,0.55027,0.8595,0.85911,0.61257,1.64323,1.05731,1.35289,7.75273e-06,7.75273e-06,7.75273e-06
9,20.8775,1.11601,2.70379,1.41089,0.56883,0.86388,0.81827,0.59503,1.66466,1.05933,1.36332,8.76602e-06,8.76602e-06,8.76602e-06
10,22.889,1.18649,3.44741,1.5955,0.57996,0.86409,0.81418,0.59503,1.65644,1.05652,1.3566,9.75574e-06,9.75574e-06,9.75574e-06
11,25.3951,1.20761,2.46919,1.4528,0.59064,0.86375,0.85581,0.6199,1.65354,1.06317,1.35587,1.07219e-05,1.07219e-05,1.07219e-05
12,27.7139,0.99159,2.00646,1.36619,0.58563,0.86406,0.85561,0.62083,1.6625,1.07373,1.36346,1.16645e-05,1.16645e-05,1.16645e-05
13,30.1735,0.87115,2.23878,1.1321,0.59041,0.86667,0.85501,0.62082,1.64935,1.07347,1.35344,1.25835e-05,1.25835e-05,1.25835e-05
14,32.7147,1.0837,2.18852,1.48391,0.5978,0.86667,0.88803,0.62731,1.65277,1.09405,1.35794,1.3479e-05,1.3479e-05,1.3479e-05
15,35.9906,0.92837,1.64839,1.12279,0.60696,0.86667,0.88802,0.62731,1.65172,1.10164,1.35898,1.43509e-05,1.43509e-05,1.43509e-05
